DeviceExample.ino
A simple demonstration of TinyGPS++ with an attached GPS module
Testing TinyGPS++ library v. 1.0.2
by Mikal Hart

Lat(deg),Lng(deg),HDOP,Date,Time,Speed(km/h),Course(deg)
-33.957687,18.463182,100,1/17/2019,10:43:26.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:26.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:27.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:27.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:28.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:28.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:29.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:29.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:30.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:30.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:31.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:31.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:32.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:32.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:33.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:33.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:34.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:34.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:35.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:35.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:36.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:36.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:37.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:37.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:38.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:38.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:39.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:39.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:40.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:40.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:41.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:41.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:42.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:42.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:43.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:43.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:44.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:44.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:45.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:45.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:46.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:46.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:47.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:47.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:48.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:48.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:49.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:49.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:50.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:50.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:51.00,0.00,0.00
-33.957687,18.463182,100,1/17/2019,10:43:51.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:52.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:52.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:53.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:53.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:54.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:54.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:55.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:55.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:56.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:56.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:57.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:57.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:58.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:58.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:59.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:43:59.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:00.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:00.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:01.00,0.00,0.00
-33.957683,18.463182,100,1/17/2019,10:44:01.00,0.00,0.00
